state,alpha,1,2,3,average
p=97 opt:adam lr=0.0001_dropout=0,0.3,21.19325945,18.43024138,24.1080917,21.24386418
p=97 opt:adam lr=0.0001_dropout=0,0.35,24.14977109,24.23152387,26.91301504,25.09810334
p=97 opt:adam lr=0.0001_dropout=0,0.4,29.75557917,34.99822883,25.64647538,30.1334278
p=97 opt:adam lr=0.0001_dropout=0,0.45,36.59903382,37.04347826,34.22222222,35.95491143
p=97 opt:adam lr=0.0001_dropout=0,0.5,43.12433581,42.69925611,39.48990436,41.77116543
p=97 opt:adam lr=0.0001_dropout=0,0.55,34.33293979,42.5974026,47.08382527,41.33805588
p=97 opt:adam lr=0.0001_dropout=0,0.6,57.81083953,56.0042508,54.8618491,56.22564648
p=97 opt:adam lr=0.0001_dropout=0,0.65,61.9914997,62.81117183,62.47723133,62.42663428
p=97 opt:adam lr=0.0001_dropout=0,0.7,68.72121856,69.04002834,64.68296139,67.48140276
p=97 opt:adam lr=0.0001_dropout=0,0.75,73.73565661,73.09817255,74.33064173,73.7214903
p=97 opt:adam lr=0.0001_dropout=0,0.8,77.78958555,75.92986185,78.16153029,77.29365923
p=97 opt:adam lr=0.001_dropout=0,0.3,12.41839988,10.86989525,12.87384242,12.05404585
p=97 opt:adam lr=0.001_dropout=0,0.35,11.29823414,12.81883584,12.99869196,12.37192065
p=97 opt:adam lr=0.001_dropout=0,0.4,19.25256819,18.79206518,16.5781084,18.20758059
p=97 opt:adam lr=0.001_dropout=0,0.45,23.47826087,18.85990338,22.84057971,21.72624799
p=97 opt:adam lr=0.001_dropout=0,0.5,33.66631243,29.60680128,31.88097768,31.71803046
p=97 opt:adam lr=0.001_dropout=0,0.55,32.37308146,36.45808737,23.73081464,30.85399449
p=97 opt:adam lr=0.001_dropout=0,0.6,45.29755579,43.88947928,50.18597237,46.45766915
p=97 opt:adam lr=0.001_dropout=0,0.65,61.17182757,60.59502125,56.37522769,59.38069217
p=97 opt:adam lr=0.001_dropout=0,0.7,65.03719447,59.68827488,60.78639745,61.83728894
p=97 opt:adam lr=0.001_dropout=0,0.75,73.65065873,72.07819805,75.77560561,73.8348208
p=97 opt:adam lr=0.001_dropout=0,0.8,99.84059511,77.68331562,96.2805526,91.26815445
p=97 opt:adam lr=0.003_dropout=0,0.3,6.118111432,7.484439047,5.996660088,6.533070189
p=97 opt:adam lr=0.003_dropout=0,0.35,8.89470242,9.417920209,5.673642904,7.995421844
p=97 opt:adam lr=0.003_dropout=0,0.4,13.0889125,10.44987602,10.94580234,11.49486362
p=97 opt:adam lr=0.003_dropout=0,0.45,15.65217391,13.97101449,1.004830918,10.20933977
p=97 opt:adam lr=0.003_dropout=0,0.5,15.4303932,15.40913921,20.17003188,17.0031881
p=97 opt:adam lr=0.003_dropout=0,0.55,19.31523022,31.47579693,21.88902007,24.22668241
p=97 opt:adam lr=0.003_dropout=0,0.6,0.982996812,46.2805526,57.54516472,34.93623804
p=97 opt:adam lr=0.003_dropout=0,0.65,42.86581664,59.68427444,68.6095932,57.05322809
p=97 opt:adam lr=0.003_dropout=0,0.7,84.90967056,0.921006022,0.885582713,28.90541977
p=97 opt:adam lr=0.003_dropout=0,0.75,99.78750531,99.83000425,0.892477688,66.83666242
p=97 opt:adam lr=0.003_dropout=0,0.8,14.18703507,0.903294368,1.222104145,5.43747786
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.3,8.289054198,5.677850311,9.807195992,7.924700167
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.35,9.61412688,11.03662525,12.06671027,10.9058208
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.4,17.90648247,19.11087496,21.78533475,19.60089739
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.45,23.07246377,29.54589372,27.20772947,26.60869565
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.5,35.66418704,46.67375133,37.10945802,39.8157988
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.55,50.95631641,51.75914994,56.67060213,53.12868949
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.6,73.75132837,97.68862912,99.36238045,90.26744598
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.65,99.05889496,98.17850638,90.25500911,95.83080348
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.7,99.5749203,99.43322706,99.61034361,99.53949699
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.75,99.95750106,99.53251169,99.02252444,99.50417906
"p=97 opt:adam lr=0.0001, dropout=0.1_dropout=0.1",0.8,100,99.94686504,99.68119022,99.87601842
p=97 opt:adamW weight decay=0.05_dropout=0,0.3,21.20844087,15.72794899,19.14376803,18.69338596
p=97 opt:adamW weight decay=0.05_dropout=0,0.35,20.9941138,17.92020929,21.09221714,20.00218007
p=97 opt:adamW weight decay=0.05_dropout=0,0.4,30.69429685,31.08395324,31.19022317,30.98949109
p=97 opt:adamW weight decay=0.05_dropout=0,0.45,28.83091787,26.02898551,29.68115942,28.18035427
p=97 opt:adamW weight decay=0.05_dropout=0,0.5,41.29649309,41.9978746,42.23166844,41.84201204
p=97 opt:adamW weight decay=0.05_dropout=0,0.55,36.69421488,44.43919717,45.99763872,42.37701692
p=97 opt:adamW weight decay=0.05_dropout=0,0.6,57.1466525,53.77258236,56.4293305,55.78285512
p=97 opt:adamW weight decay=0.05_dropout=0,0.65,62.65938069,62.29508197,60.77717061,61.91054442
p=97 opt:adamW weight decay=0.05_dropout=0,0.7,69.11087496,68.57952533,69.18172157,68.95737395
p=97 opt:adamW weight decay=0.05_dropout=0,0.75,74.33064173,76.37059074,73.6081598,74.76979742
p=97 opt:adamW weight decay=0.05_dropout=0,0.8,77.63018066,79.48990436,81.03081828,79.38363443
p=97 opt:adamW weight decay=1.0_dropout=0,0.3,18.71868833,18.99195385,17.91407317,18.54157178
p=97 opt:adamW weight decay=1.0_dropout=0,0.35,26.09548725,24.67298888,31.57292348,27.4471332
p=97 opt:adamW weight decay=1.0_dropout=0,0.4,97.23698193,43.46439957,38.41657811,59.70598654
p=97 opt:adamW weight decay=1.0_dropout=0,0.45,98.43478261,98.02898551,99.24637681,98.57004831
p=97 opt:adamW weight decay=1.0_dropout=0,0.5,98.83103082,98.17215728,99.06482465,98.68933758
p=97 opt:adamW weight decay=1.0_dropout=0,0.55,99.85832349,100,99.69303424,99.85045258
p=97 opt:adamW weight decay=1.0_dropout=0,0.6,100,100,99.97343252,99.99114417
p=97 opt:adamW weight decay=1.0_dropout=0,0.65,100,100,100,100
p=97 opt:adamW weight decay=1.0_dropout=0,0.7,99.96457669,100,100,99.98819223
p=97 opt:adamW weight decay=1.0_dropout=0,0.75,100,100,100,100
p=97 opt:adamW weight decay=1.0_dropout=0,0.8,100,100,100,100
p=97 opt:RMSprop lr=0.0001_dropout=0,0.3,15.45468347,20.5556399,20.5556399,18.85532109
p=97 opt:RMSprop lr=0.0001_dropout=0,0.35,19.89862655,18.41072596,20.78155657,19.6969697
p=97 opt:RMSprop lr=0.0001_dropout=0,0.4,21.60821821,25.27453064,29.91498406,25.5992443
p=97 opt:RMSprop lr=0.0001_dropout=0,0.45,34.95652174,30.49275362,32.09661836,32.51529791
p=97 opt:RMSprop lr=0.0001_dropout=0,0.5,41.91285866,40.93517535,39.70244421,40.8501594
p=97 opt:RMSprop lr=0.0001_dropout=0,0.55,47.06021251,49.98819362,46.70602125,47.91814246
p=97 opt:RMSprop lr=0.0001_dropout=0,0.6,52.86928799,56.50903294,56.53560043,55.30464045
p=97 opt:RMSprop lr=0.0001_dropout=0,0.65,61.14146934,64.84517304,61.11111111,62.36591783
p=97 opt:RMSprop lr=0.0001_dropout=0,0.7,67.97732908,68.50867871,67.80021254,68.09540678
p=97 opt:RMSprop lr=0.0001_dropout=0,0.75,74.75563111,72.12069698,72.37569061,73.08400623
p=97 opt:RMSprop lr=0.0001_dropout=0,0.8,80.49946865,78.63974495,75.92986185,78.35635848
p=97 opt:RMSprop lr=0.001_dropout=0,0.3,3.17291635,4.372248368,2.702292394,3.415819037
p=97 opt:RMSprop lr=0.001_dropout=0,0.35,13.9470242,9.69587966,8.731196861,10.79136691
p=97 opt:RMSprop lr=0.001_dropout=0,0.4,15.90506553,9.511158342,13.60255048,13.00625812
p=97 opt:RMSprop lr=0.001_dropout=0,0.45,16.03864734,13.46859903,18.57004831,16.0257649
p=97 opt:RMSprop lr=0.001_dropout=0,0.5,18.74601488,20.34006376,24.63336876,21.2398158
p=97 opt:RMSprop lr=0.001_dropout=0,0.55,30.01180638,31.19244392,40.094451,33.76623377
p=97 opt:RMSprop lr=0.001_dropout=0,0.6,38.97449522,41.39213603,39.79808714,40.05490613
p=97 opt:RMSprop lr=0.001_dropout=0,0.65,56.64845173,53.79477838,56.28415301,55.57579437
p=97 opt:RMSprop lr=0.001_dropout=0,0.7,59.47573503,64.82465462,59.12150195,61.14063053
p=97 opt:RMSprop lr=0.001_dropout=0,0.75,68.97577561,68.76328092,72.67318317,70.13741323
p=97 opt:RMSprop lr=0.001_dropout=0,0.8,92.45483528,89.4261424,97.82146652,93.23414807
p=97 opt:SGD momentum=0.9_dropout=0,0.3,1.806588735,0.986792166,2.641566722,1.811649208
p=97 opt:SGD momentum=0.9_dropout=0,0.35,3.090255069,4.136690647,4.872465664,4.033137127
p=97 opt:SGD momentum=0.9_dropout=0,0.4,4.941551541,6.376195537,9.316330145,6.878025741
p=97 opt:SGD momentum=0.9_dropout=0,0.45,17.23671498,12.1352657,8.115942029,12.49597424
p=97 opt:SGD momentum=0.9_dropout=0,0.5,20.04250797,18.66099894,24.20828905,20.97059865
p=97 opt:SGD momentum=0.9_dropout=0,0.55,39.14994097,37.00118064,34.73435655,36.96182605
p=97 opt:SGD momentum=0.9_dropout=0,0.6,49.01700319,48.565356,51.40807651,49.66347857
p=97 opt:SGD momentum=0.9_dropout=0,0.65,62.53794778,59.16818458,59.89678203,60.5343048
p=97 opt:SGD momentum=0.9_dropout=0,0.7,71.02373362,68.4732554,82.43003897,73.97567599
p=97 opt:SGD momentum=0.9_dropout=0,0.75,87.50531237,79.17552061,77.90055249,81.52712849
p=97 opt:SGD momentum=0.9_dropout=0,0.8,95.74920298,89.63868225,81.45589798,88.94792774
